,epoch,train_loss,val_loss
0,1,0.6794544018623305,21.046070734659832
1,2,0.21657962915374013,0.4335850576559703
2,3,0.18537149051340615,0.42096638679504395
3,4,0.1486560931292976,0.2867220938205719
4,5,0.10620426459283364,0.2446811944246292
5,6,0.09703376416752978,0.16216457138458887
6,7,0.07507822171943944,0.07617528239885966
7,8,0.07763559462093725,0.06681818763415019
8,9,0.0632318203769079,0.05593892807761828
9,10,0.06685093726690222,0.052098977069060005
10,11,0.05294476485833889,0.0498407781124115
11,12,0.05232119405778443,0.05942483494679133
12,13,0.043524530057500045,0.058069308598836265
13,14,0.04273682551049605,0.04592961569627126
14,15,0.03724938921812104,0.04355147605141004
15,16,0.043208065102013145,0.057693175971508026
16,17,0.03956793212309116,0.04898976907134056
17,18,0.0372363047265425,0.041449214021364846
18,19,0.03361598792962912,0.043967305372158684
19,20,0.029489582449924653,0.041606164226929344
20,21,0.02636468792107047,0.041725787023703255
21,22,0.0238043072110996,0.04107449948787689
22,23,0.022844736850479753,0.043953669567902885
23,24,0.021455240822056444,0.04268443087736765
24,25,0.021090943411719507,0.04099790627757708
25,26,0.019549682191232355,0.04323041687409083
26,27,0.0190121983064384,0.04755500455697378
27,28,0.018933565015109573,0.045265115797519684
28,29,0.01687005044120114,0.04027201980352402
29,30,0.015941432063899388,0.037819097439448036
30,31,0.015634930124733507,0.037001547093192734
31,32,0.014635346602739357,0.04201340675354004
32,33,0.014965626433855149,0.03837435940901438
33,34,0.013589273774769248,0.03666513909896215
34,35,0.013969595203312432,0.03733064606785774
35,36,0.013736285269260406,0.04011095811923345
36,37,0.012432650117794188,0.043047198404868446
37,38,0.012520494575544102,0.03995111212134361
38,39,0.012266773344358294,0.03643151062230269
39,40,0.012061023721244277,0.03536420688033104
40,41,0.01184210640082999,0.03624288861950239
41,42,0.011456684141260822,0.03720445061723391
42,43,0.012415016978615669,0.03824550906817118
43,44,0.011943715442789764,0.0386852373679479
44,45,0.01152843037029592,0.03705237495402495
45,46,0.011709166145542772,0.03631472463409106
46,47,0.01152308966691901,0.04055573232471943
47,48,0.011158463726865082,0.04208481001357237
48,49,0.010824721829011672,0.040397871285676956
49,50,0.010797777213156223,0.03647152210275332
